Area	Site	Year	Age	dph	contig	big	svdets	ha	cha	cha2	inc	youngest	nAges	PO	PR	CO	ET	tp20h	ptp20h	ptd	note
Cib	CNCRN	2010	2	0.34538938	0	0	5	14.476415	14.476415	14.476415	0	1	1	0	0	0	0	0	0	0	NA
Cib	CNCRN	2011	3	NA	1	0	NA	14.476415	57.7	57.7	0	1	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRN	2012	4	NA	1	0	NA	14.476415	57.7	57.7	0	0	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRN	2013	5	NA	1	0	NA	14.476415	57.7	57.7	0	0	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRN	2014	6	NA	1	0	NA	14.476415	57.7	57.7	0	0	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRN	2015	7	NA	1	0	NA	14.476415	57.7	57.7	0	0	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRN	2016	8	0.414467256	1	0	6	14.476415	87.405458	87.405458	0	0	3	2	1	0	3	4.144672559	1.38155752	1.38155752	NA
Cib	CNCRN	2017	9	0.414467256	1	0	6	14.476415	87.405458	87.405458	0	0	3	0	1	0	1	1.38155752	1.38155752	1.38155752	NA
Cib	CNCRN	2018	10	0.276311504	1	0	4	14.476415	87.405458	87.405458	0	0	3	1	0	0	1	1.38155752	0	0	NA
Cib	CNCRS	2011	2	NA	1	0	NA	43.233307	57.7	57.7	0	0	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRS	2012	3	NA	1	0	NA	43.233307	57.7	57.7	0	1	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRS	2013	4	NA	1	0	NA	43.233307	57.7	57.7	0	1	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRS	2014	5	NA	1	0	NA	43.233307	57.7	57.7	0	1	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRS	2015	6	NA	1	0	NA	43.233307	57.7	57.7	0	1	2	NA	NA	NA	0	NA	NA	NA	NA
Cib	CNCRS	2016	7	0.48573661	1	0	21	43.233307	87.405458	87.405458	0	1	3	2	0	5	7	3.23824407	2.313031478	2.313031478	NA
Cib	CNCRS	2017	8	0.370085037	1	0	16	43.233307	87.405458	87.405458	0	0	3	0	2	1	3	1.387818887	1.387818887	1.387818887	NA
Cib	CNCRS	2018	9	0.254433463	1	0	11	43.233307	87.405458	87.405458	0	0	3	0	1	1	2	0.925212591	0.925212591	0.925212591	NA
Cib	CNHFS	2017	2	0.37030232	1	0	11	29.705458	87.405458	87.405458	1	1	3	2	0	1	3	2.019830834	0.673276945	0.673276945	NA
Cib	CNHFS	2018	3	0.639613097	1	0	19	29.705458	87.405458	87.405458	1	1	4	0	1	3	4	2.693107778	2.693107778	2.693107778	NA
CVCA	CVCA01	2008	2	0.4	0	0	14	35	35	35	1	1	1	0	0	3	3	1.714285714	1.714285714	1.714285714	NA
CVCA	CVCA01	2009	3	0.342857143	0	0	12	35	60	60	1	1	2	0	0	2	2	1.142857143	1.142857143	1.142857143	NA
CVCA	CVCA01	2010	4	0.542857143	1	0	19	35	60	60	1	0	2	0	0	3	3	1.714285714	1.714285714	1.714285714	NA
CVCA	CVCA01	2011	5	0.342857143	1	0	12	35	60	60	1	0	2	2	1	4	7	4	2.857142857	2.857142857	NA
CVCA	CVCA01	2012	6	0.285714286	1	0	10	35	60	60	1	0	2	0	1	2	3	1.714285714	1.714285714	1.714285714	NA
CVCA	CVCA01	2013	7	0.457142857	1	0	16	35	60	60	1	0	2	1	1	1	3	1.714285714	1.142857143	1.142857143	NA
CVCA	CVCA01	2014	8	0.228571429	0	0	8	35	60	60	1	0	2	1	1	0	2	1.142857143	0.571428571	0.571428571	NA
CVCA	CVCA01	2015	9	0.257142857	0	0	9	35	60	60	1	0	2	1	2	0	3	1.714285714	1.142857143	1.142857143	NA
CVCA	CVCA01	2016	10	0.342857143	0	0	12	35	60	60	1	0	2	1	1	1	3	1.714285714	1.142857143	1.142857143	NA
CVCA	CVCA01	2017	11	0.114285714	0	0	4	35	60	60	1	0	2	1	0	0	1	0.571428571	0.571428571	0	changepotoprx
CVCA	CVCA01	2018	12	0.2	0	0	7	35	60	60	1	0	2	2	0	0	2	1.142857143	0.571428571	0	change1potoprx
CVCA	CVCA02	2008	1	0	1	0	0	25	35	35	0	1	1	0	0	0	0	0	0	0	presv
CVCA	CVCA02	2009	2	0	1	0	0	25	60	60	1	0	2	0	0	0	0	0	0	0	NA
CVCA	CVCA02	2010	3	0.52	1	0	13	25	60	60	1	1	2	0	0	3	3	2.4	2.4	2.4	NA
CVCA	CVCA02	2011	4	0.72	1	0	18	25	60	60	1	1	2	0	1	3	4	3.2	3.2	3.2	NA
CVCA	CVCA02	2012	5	0.36	1	0	9	25	60	60	1	1	2	0	1	1	2	1.6	1.6	1.6	NA
CVCA	CVCA02	2013	6	0.48	1	0	12	25	60	60	1	1	2	3	0	0	3	2.4	0.8	0	change1potoprx
CVCA	CVCA02	2014	7	0.12	1	0	3	25	60	60	1	1	2	0	0	1	1	0.8	0.8	0.8	NA
CVCA	CVCA02	2015	8	0.4	1	0	10	25	60	60	1	1	2	2	0	0	2	1.6	0.8	0	change1potoprx
CVCA	CVCA02	2016	9	0.2	1	0	5	25	60	60	1	1	2	2	0	0	2	1.6	0.8	0	change1potoprx
CVCA	CVCA02	2017	10	0.32	1	0	8	25	60	60	1	0	2	1	1	0	2	1.6	0.8	0.8	NA
CVCA	CVCA02	2018	11	0.08	1	0	2	25	60	60	1	0	2	1	0	0	1	0.8	0.8	0	changepotoprx
CVCA	CVCA03	2009	2	0.162162162	0	0	6	37	37	37	0	0	1	2	0	0	2	1.081081081	0	0	NA
CVCA	CVCA03	2010	3	0.162162162	0	0	6	37	37	37	0	0	1	1	0	0	1	0.540540541	0	0	NA
CVCA	CVCA03	2011	4	0.324324324	0	0	12	37	37	37	0	0	1	2	0	0	2	1.081081081	0	0	NA
CVCA	CVCA03	2012	5	0.027027027	0	0	1	37	37	37	0	0	1	0	0	0	0	0	0	0	NA
CVCA	CVCA03	2013	6	0.243243243	0	0	9	37	37	37	0	0	2	1	0	1	2	1.081081081	0.540540541	0.540540541	NA
CVCA	CVCA03	2014	7	0	0	0	0	37	37	37	0	0	2	0	0	0	0	0	0	0	NA
CVCA	CVCA03	2015	8	0.054054054	0	0	2	37	37	37	0	0	2	0	0	0	0	0	0	0	NA
CVCA	CVCA03	2016	9	0.135135135	0	0	5	37	37	37	0	0	2	1	0	0	1	0.540540541	0	0	NA
CVCA	CVCA03	2017	10	0.081081081	0	0	3	37	37	37	0	0	2	0	0	0	0	0	0	0	NA
CVCA	CVCA03	2018	11	0	0	0	0	37	37	37	0	0	2	0	0	0	0	0	0	0	NA
